"zeitpunkt","bruttolastgang","status"
"2021-01-04T14:30",97432.644938,"E"
"2021-01-04T14:45",97359.417581,"E"
"2021-01-04T15:00",97092.890668,"E"
"2021-01-04T15:15",96569.841015,"E"
"2021-01-04T15:30",96350.774344,"E"
"2021-01-04T15:45",96287.053499,"E"
"2021-01-04T16:00",96849.129202,"E"
"2021-01-04T16:15",96859.649855,"E"
"2021-01-04T16:30",97230.984565,"E"
"2021-01-04T16:45",97332.585245,"E"
"2021-01-04T17:00",98610.635464,"E"
"2021-01-04T17:15",98864.610796,"E"
"2021-01-04T17:30",99122.964231,"E"
"2021-01-04T17:45",99455.104320,"E"
"2021-01-04T18:00",100045.065787,"E"
"2021-01-04T18:15",99972.181433,"E"
"2021-01-04T18:30",99698.951761,"E"
"2021-01-04T18:45",99308.189974,"E"
"2021-01-04T19:00",98358.021553,"E"
"2021-01-04T19:15",96127.638447,"E"
"2021-01-04T19:30",94340.831973,"E"
"2021-01-04T19:45",92157.399616,"E"
"2021-01-04T20:00",90332.403120,"E"
"2021-01-04T20:15",87674.466748,"E"
"2021-01-04T20:30",85779.624918,"E"
"2021-01-04T20:45",83681.860632,"E"
"2021-01-04T21:00",81725.316895,"E"
"2021-01-04T21:15",80252.555789,"E"
"2021-01-04T21:30",78630.452013,"E"
"2021-01-04T21:45",76742.616837,"E"
"2021-01-04T22:00",75344.567995,"E"
"2021-01-04T22:15",72965.218920,"E"
"2021-01-04T22:30",71473.221293,"E"
"2021-01-04T22:45",69547.954799,"E"
"2021-01-04T23:00",67963.146602,"E"
"2021-01-04T23:15",66253.539890,"E"
"2021-01-04T23:30",65218.345637,"E"
"2021-01-04T23:45",64253.962522,"E"
"2021-01-05T00:00",63091.643822,"E"
"2021-01-05T00:15",66575.015044,"E"
"2021-01-05T00:30",65966.537972,"E"
"2021-01-05T00:45",64633.862535,"E"
"2021-01-05T01:00",62481.162912,"E"
"2021-01-05T01:15",60746.330914,"E"
"2021-01-05T01:30",59572.543747,"E"
"2021-01-05T01:45",58569.657674,"E"
"2021-01-05T02:00",57857.363252,"E"
"2021-01-05T02:15",61025.251167,"E"
"2021-01-05T02:30",60550.784132,"E"
"2021-01-05T02:45",59774.752295,"E"
"2021-01-05T03:00",58594.254437,"E"
"2021-01-05T03:15",57863.122136,"E"
"2021-01-05T03:30",57244.706497,"E"
"2021-01-05T03:45",56774.909290,"E"
"2021-01-05T04:00",56643.444910,"E"
"2021-01-05T04:15",56741.894874,"E"
"2021-01-05T04:30",56818.192767,"E"
"2021-01-05T04:45",57139.846917,"E"
"2021-01-05T05:00",57963.034850,"E"
"2021-01-05T05:15",60061.959849,"E"
"2021-01-05T05:30",61412.217076,"E"
"2021-01-05T05:45",63152.262895,"E"
"2021-01-05T06:00",65407.866377,"E"
"2021-01-05T06:15",69085.837780,"E"
"2021-01-05T06:30",71855.586366,"E"
"2021-01-05T06:45",75075.571370,"E"
"2021-01-05T07:00",77766.211772,"E"
"2021-01-05T07:15",81843.403019,"E"
"2021-01-05T07:30",85017.435894,"E"
"2021-01-05T07:45",88084.481058,"E"
"2021-01-05T08:00",90188.381545,"E"
"2021-01-05T08:15",92104.284460,"E"
"2021-01-05T08:30",93092.407567,"E"
"2021-01-05T08:45",94085.655467,"E"
"2021-01-05T09:00",95731.060350,"E"
"2021-01-05T09:15",96658.448121,"E"
"2021-01-05T09:30",97303.340118,"E"
"2021-01-05T09:45",97975.170284,"E"
"2021-01-05T10:00",98564.334363,"E"
"2021-01-05T10:15",99162.012661,"E"
"2021-01-05T10:30",100049.139468,"E"
"2021-01-05T10:45",100497.268673,"E"
"2021-01-05T11:00",100811.973934,"E"
"2021-01-05T11:15",101676.037961,"E"
"2021-01-05T11:30",102373.343546,"E"
"2021-01-05T11:45",103071.560360,"E"
"2021-01-05T12:00",104127.963639,"E"
"2021-01-05T12:15",104679.057563,"E"
"2021-01-05T12:30",103821.505300,"E"
"2021-01-05T12:45",102263.705537,"E"
"2021-01-05T13:00",102193.179154,"E"
"2021-01-05T13:15",101970.641635,"E"
"2021-01-05T13:30",101559.895901,"E"
"2021-01-05T13:45",100724.191032,"E"
"2021-01-05T14:00",99864.448066,"E"
"2021-01-05T14:15",99485.666725,"E"
"2021-01-05T14:30",98955.179264,"E"
"2021-01-05T14:45",98782.157180,"E"
"2021-01-05T15:00",98656.222636,"E"
"2021-01-05T15:15",98118.649795,"E"
"2021-01-05T15:30",97813.962335,"E"
"2021-01-05T15:45",97680.897671,"E"
"2021-01-05T16:00",98227.181137,"E"
"2021-01-05T16:15",98413.329888,"E"
"2021-01-05T16:30",98711.236319,"E"
"2021-01-05T16:45",99482.487172,"E"
"2021-01-05T17:00",99927.927428,"E"
"2021-01-05T17:15",99319.125643,"E"
"2021-01-05T17:30",99868.356214,"E"
"2021-01-05T17:45",99960.309643,"E"
"2021-01-05T18:00",100731.293355,"E"
"2021-01-05T18:15",100916.402943,"E"
"2021-01-05T18:30",100789.460579,"E"
"2021-01-05T18:45",99699.021930,"E"
"2021-01-05T19:00",99284.902441,"E"
"2021-01-05T19:15",96639.694253,"E"
"2021-01-05T19:30",95019.958440,"E"
"2021-01-05T19:45",92719.326900,"E"
"2021-01-05T20:00",91255.967630,"E"
"2021-01-05T20:15",88158.232074,"E"
"2021-01-05T20:30",86244.662259,"E"
"2021-01-05T20:45",84456.084677,"E"
"2021-01-05T21:00",82347.141798,"E"
"2021-01-05T21:15",80357.721694,"E"
"2021-01-05T21:30",78818.967127,"E"
"2021-01-05T21:45",76895.369596,"E"
"2021-01-05T22:00",75441.647171,"E"
"2021-01-05T22:15",73979.924512,"E"
"2021-01-05T22:30",72143.336294,"E"
"2021-01-05T22:45",70355.180106,"E"
"2021-01-05T23:00",69268.795825,"E"
"2021-01-05T23:15",67648.020762,"E"
"2021-01-05T23:30",66490.563138,"E"
"2021-01-05T23:45",64747.834468,"E"
"2021-01-06T00:00",63464.737074,"E"
"2021-01-06T00:15",66677.329324,"E"
"2021-01-06T00:30",65987.753047,"E"
"2021-01-06T00:45",64838.161713,"E"
"2021-01-06T01:00",63000.637712,"E"
"2021-01-06T01:15",61186.224791,"E"
"2021-01-06T01:30",60017.589057,"E"
"2021-01-06T01:45",59126.576189,"E"
"2021-01-06T02:00",58116.459101,"E"
"2021-01-06T02:15",60709.565854,"E"
"2021-01-06T02:30",59997.029630,"E"
"2021-01-06T02:45",59284.816048,"E"
"2021-01-06T03:00",58483.947854,"E"
"2021-01-06T03:15",58045.841775,"E"
"2021-01-06T03:30",57502.130613,"E"
"2021-01-06T03:45",57013.490414,"E"
"2021-01-06T04:00",56650.207912,"E"
"2021-01-06T04:15",56658.809501,"E"
"2021-01-06T04:30",56513.819639,"E"
